MaterialID,name,rarity,type,source,intro,relatedFood,relatedWeapon,LABEL
m10,高塔孤王的碎梦,5星,武器突破素材,秘境获得合成获得塞西莉亚苗圃炼武秘境:水光之城Ⅳ（塞西莉亚苗圃限时开启）时间：周一/周四/周日,N/A,N/A,"风鹰剑
 松籁响起之时
 宗室秘法录
 西风秘典
 绝弦
 西风剑
 钟剑
 宗室长剑
 暗巷闪光
 苍翠猎弓
 雪葬的星银
 幽夜华尔兹
 辰砂之纺锤
 狼牙
 冷刃
 铁影阔剑
 魔导绪论
 鸦羽弓",Material
m11,凛风奔狼的怀乡,5星,武器突破素材,秘境获得合成获得塞西莉亚苗圃炼武秘境:深没之谷Ⅳ（塞西莉亚苗圃限时开启）时间：周二/周五/周日,N/A,N/A,N/A,Material
m12,狮牙斗士的理想,5星,武器突破素材,秘境获得合成获得塞西莉亚苗圃炼武秘境:渴水的废都Ⅳ（塞西莉亚苗圃限时开启）时间：周三/周六/周日,赋予武器突破之力的材料。温妮莎从奴役之中得到了自由。结果锁住她的东西越来越大了：从族人变成了整个蒙德甚至变成了「自由」，乃至这个世界。她是发自真心这么希望着的：愿这个世界变得更加坚强一些。,N/A,"四风原典
 狼的末路
 阿莫斯之弓
 天空之脊
 苍古自由之誓
 祭礼残章
 宗室大剑
 西风猎弓
 宗室长弓
 祭礼剑
 西风大剑
 西风长枪
 腐殖之剑
 忍冬之果
 风花之颂
 暗巷猎手
 饰铁之花
 旅行剑
 白铁大剑
 异世界行记
 反曲弓",Material
m13,武炼之魂·孤影,5星,天赋培养素材,周常BOSS掉落70级以上黄金屋挑战奖励,N/A,N/A,N/A,Material
m14,「黄金」的教导,2星,角色天赋素材,活动获得秘境获得太山府精通秘境:焚尽之环Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周三/周六/周日在璃月开启宝箱时概率获得,岩之国土的象征是黄金。黄金是流淌在璃月土地深处的血液，是鼓动璃月的心脏有力搏动的肌肉，是让璃月傲然挺立的筋骨。,N/A,N/A,Material
m15,「勤劳」的教导,2星,角色天赋素材,活动获得秘境获得太山府精通秘境:深炎之底Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周二/周五/周日,"岩之国土的根基是勤劳。
勤劳即为通过人的努力，克服高山与大海，追求繁荣与黄金的勇气与力量。",N/A,N/A,Material
m16,「繁荣」的教导,2星,角色天赋素材,活动获得秘境获得太山府精通秘境:炽炎祭场Ⅰ/Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日,岩之国土的追求是繁荣。繁荣是璃月的恩惠，是璃月的神与人共同建立的伟大城市，是璃月的大地安全和平的源泉。,N/A,N/A,Material
m17,「诗文」的教导,2星,角色天赋素材,活动获得秘境获得忘却之峡精通秘境:沉睡之国Ⅰ/Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周三/周六/周日,风之国土的灵魂是诗文。诗文是美好的心意。在美好的日子里，吹拂原野的风中飘扬着田园诗、情诗，如和风拨动草叶般拨动人们的心。,N/A,N/A,Material
m18,「抗争」的教导,2星,角色天赋素材,活动获得秘境获得忘却之峡精通秘境:冰封废渊Ⅰ/Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日,风之国土的脊梁是抗争。蒙德的历史即是抗争的历史。抗争是为了蒙德过去的一切抗争不被遗忘，如同草木突破土壤，如同恒风洞穿石墙。,N/A,N/A,Material
m19,「自由」的教导,2星,角色天赋素材,活动获得秘境获得忘却之峡精通秘境:霜凝祭坛Ⅰ/Ⅱ/Ⅲ/Ⅳ(忘却之峡限时开启)时间：周一/周四/周日,风之国土的精神是自由。自由其一，是生存的自由，即是能健全、健康地生活，而不必担心朝不保夕的自由。,N/A,N/A,Material
m20,「纷争」的指引,3星,角色天赋素材,合成获得活动获得秘境获得蕴火的幽墟精通秘境：旋复Ⅰ/Ⅱ/Ⅲ/Ⅳ（蕴火的幽墟限时开启）时间：周三/周六/周日,"天赋培养素材。
火之国土的事理是纷争。
纷争永远能够被更高层面的力量介入并解决，而非不可收拾，这让一切都得以进入可控的境地。纷争亦是一种局限，禁止不计成本地推诿下去，而是要求参与方更干净利落地得出结果。",N/A,N/A,Material
m21,灼灼彩菊,1星,纳塔区域特产,柴薪之丘采集圣火竞技场周边采集,N/A,N/A,N/A,Material
m22,「角逐」的指引,3星,角色天赋素材,合成获得活动获得秘境获得蕴火的幽墟精通秘境：转竟Ⅰ/Ⅱ/Ⅲ/Ⅳ（蕴火的幽墟限时开启）时间：周一/周四/周日,N/A,N/A,N/A,Material
m23,「焚燔」的指引,3星,角色天赋素材,合成获得活动获得秘境获得蕴火的幽墟精通秘境：空华Ⅰ/Ⅱ/Ⅲ/Ⅳ（蕴火的幽墟限时开启）时间：周二/周五/周日,N/A,N/A,N/A,Material
m24,浪沫羽鳃,1星,纳塔区域特产,野外采集涌流地采集「流泉之众」周边采集,生长在海边如羽状的特殊物种，看似是水草般的植物，实际上是形态特殊的水栖软体珊瑚。,N/A,N/A,Material
m25,青蜜莓,1星,纳塔区域特产,野外采集踞石山采集「悬木人」下方采集,青蓝色的，汁液丰富的莓果。其果树大片生长在「悬木人」部族附近，是形态与火榴果相近的植物。,N/A,N/A,Material
m26,肉龙掌,1星,纳塔区域特产,野外采集硫晶支脉采集,形如巨大动物爪掌的多肉植物。,「强水」,N/A,Material
m27,初露之源,1星,枫丹区域特产,野外采集推荐：莫尔泰区水下采集,悬浮于莫尔泰区水体深处的清澈露滴，与常见的纯水造物不同，似乎凝聚着更为原始而纯粹的元素能量。,N/A,N/A,Material
m28,子探测单元,1星,枫丹区域特产,野外采集枫丹动能工程科学研究院区采集,枫丹科学院利用新型奇械构件生产的微型探测单元，原本用以监测各类环境数据。,N/A,N/A,Material
m29,湖光铃兰,1星,枫丹区域特产,野外采集推荐：伊黎耶林区采集,明澈而澄净的苍色花卉。生于水脉汇聚之处，其香清冷淡雅，辛凉柔婉。,N/A,N/A,Material
m30,「秩序」的指引,3星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:琅诵Ⅱ/Ⅲ/Ⅳ(苍白的遗荣限时开启)时间：周三/周六/周日,N/A,N/A,N/A,Material
m31,清水玉,1星,璃月区域特产,野外采集推荐：沉玉谷·南陵采集,出产于沉玉谷的玉石。触感凉如清水，因此而得名。在先民的古老传说中，散落岩间的玉石来自碧色的高天。彼时尚未陷入缄默的使者将温润如月的美玉赐予先民，指引他们筑起通天的祭台，聆听示下的幸福与灾祸。其后，由先民退化而来的诸多部落依然保持了原始而朴素的信仰，对「玉」这一意象的尊崇也与璃月的传统合流，构成了今日文化的样貌。,N/A,N/A,Material
m32,「正义」的指引,3星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:箴铭Ⅱ/Ⅲ/Ⅳ(苍白的遗荣限时开启)时间：周二/周五/周日,N/A,N/A,N/A,Material
m33,「公平」的指引,3星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:旋韵Ⅱ/Ⅲ/Ⅳ(苍白的遗荣限时开启)时间：周一/周四/周日,"水之国土的堤岸是公平。
公平是枫丹立国的基础。公平形成了律法的准绳。假若律法失去公平的本质，必沦为敛利的棋盘。",N/A,N/A,Material
m34,幽光星星,1星,枫丹区域特产,野外采集推荐：黎翡区采集,在水中会发出柔浅微光的软体动物。大多攀附在水边或水下的人造建筑表面。,N/A,N/A,Material
m35,海露花,1星,枫丹区域特产,野外采集推荐：塞洛海原采集,幽淡而高贵的蓝色花卉。柔软的花蕊具备良好的吸水性和弹性，是诸多日用品的原材料。,N/A,N/A,Material
m36,苍晶螺,1星,枫丹区域特产,野外采集推荐：塞洛海原采集,散发着幽光的贝状结构。似乎是纯净的元素能量凝结而成的产物，而非某种生物的甲壳。,N/A,N/A,Material
m37,虹彩蔷薇,1星,枫丹区域特产,"野外采集推荐：苍晶区采集
枫丹廷蔬果贩欧仁妮处购买（每三天5个）",纤婉而柔洁的粉色花卉。虽然被称作蔷薇，但本质上更接近百合。,N/A,N/A,Material
m38,柔灯铃,1星,枫丹区域特产,野外采集枫丹廷北部采集,静雅而清美的紫色花卉。其香清淡悠长、细腻柔和，因此常被用来制作名贵的香水。,N/A,N/A,Material
m39,万相石,1星,须弥区域特产,野外采集须弥沙漠采集推荐：铁穆山采集,分布在荒原群山的深处，散发着异彩的特殊辉石，似乎是由混化的元素能量凝结而成的。在须弥的传说中，地下曾有被称为茶诃的古国，因背弃正理而引来了漆黑的灾厄。在蔽日的大战中，就连最坚硬的岩石也被点燃。后来战火渐熄，残留在劫后大地上的便是这些深红的矿石，倘若仔细倾听，其中似乎仍回荡着那场战争的遗响。,N/A,N/A,Material
m40,悼灵花,1星,须弥区域特产,野外采集须弥沙漠采集推荐：锋刃林泽采集,N/A,N/A,N/A,Material
m41,沙脂蛹,1星,须弥区域特产,野外采集须弥沙漠采集推荐：沙虫隧道采集,在沙漠深处流沙鳗鳗的繁殖地才能找到的枯壳。其坚硬的表壳是为了保护流沙鳗鳗的幼体，直到它们得以适应炎热干燥的沙漠环境而存在的。在沙漠民的传说中，流沙鳗鳗同沙虫一样，都是曾经吞噬太阳的巨蛇的后嗣。这一说法虽属不经，但从对沙脂蛹的研究来看，其在成分上与沙虫的体脂确有不少相似之处。也正是因此，狡猾的商人有时会将收集到的沙脂蛹制成粉末，用以冒充那些从沙虫体脂中提炼出的高档香料。,N/A,N/A,Material
m42,赤念果,1星,须弥区域特产,野外采集须弥沙漠采集,N/A,N/A,N/A,Material
m43,「笃行」的指引,3星,角色天赋素材,活动获得合成获得秘境获得昏识塔精通秘境:律藏Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周三/周六/周日,「笃行」是智慧之国的根系。笃行印证直率的言说。所思所行皆是为善，仍不可称之为智慧。智慧孕育于行动之中，为正直的言语纂下封印。,N/A,N/A,Material
m44,「诤言」的指引,3星,角色天赋素材,活动获得合成获得秘境获得昏识塔精通秘境:圆镜Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周一/周四/周日,「诤言」是智慧之国的枝干。诤言相伴巧妙的思虑。多思多虑方能出言谦逊明晰，令智者折服，使愚者醒悟，让智慧如川流一般畅通不息。,N/A,N/A,Material
m45,「巧思」的指引,3星,角色天赋素材,活动获得合成获得秘境获得昏识塔精通秘境:妙语Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周二/周五/周日,「巧思」是智慧之国的叶脉。巧思引导正直的言语。巧妙而周密的向善思索，令出口之言不偏离福祉之正道；怠慢与歹意则令言行卑劣不堪。,N/A,N/A,Material
m46,圣金虫,1星,须弥区域特产,野外采集须弥沙漠遗迹采集,"栖息在浩瀚沙海之中的顽强甲虫。甲壳上的金色纹路似乎暗示着它们与遍布沙漠的古老遗迹间存在某种渊源。
传说在黄沙之王统治大地的年代里，在千柱之城的凯旋式上，善使魔法的司祭会将那些战败者的灵魂封印在这些昆虫之内，以「阿赫玛尔」之名命它们永远守护圣者的神庙与宫殿。后来，神庙崩塌，宫殿倾覆，唯有这些金色的虫类依旧延续着已被遗忘的旧日誓约。",N/A,N/A,Material
m47,「天光」的指引,3星,角色天赋素材,合成获得活动获得秘境获得菫色之庭精通秘境:真葛废都II/III/IV（菫色之庭限时开启）时间：周三/周六/周日,"雷之国土的愿望是天光。
即使晖光被重重雷云所掩盖，鸣神的国土之上，依旧有志士如云雀般突破雷光与天之怒海，追寻天光之迹，哪怕迎来冷酷的殛灭。",N/A,N/A,Material
m48,「浮世」的指引,3星,角色天赋素材,合成获得活动获得秘境获得菫色之庭精通秘境:菫染之国Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）时间：周一/周四/周日,雷之国土的梦想是浮世。浮世之难求乃是人之美的价值所在。人之在世岂不与雷影相似?意欲追逐掇取则遥踞云端，灯火阑珊的静谧之时却不期而来。,N/A,N/A,Material
m49,帕蒂沙兰,1星,须弥区域特产,野外采集须弥城附近采集须弥城大巴扎香料商人朱特处购买,"圣洁而高贵的花卉，对生长环境的要求十分苛刻。花蕊经过加工后可以制成珍贵的香料。
帕蒂沙兰的名字据说来源于某位古代的神祇。传说中，亘古之时，曾有三位神明交好，而在那时曾有鲜丽之花遍布大地，而人们会将采集来的花蕊制成祭香奉献给神。
如今当时的花已经绝迹。而帕蒂沙兰乃是某人依赖丰沃之惠重新培育的品种。","兽米香香
唐杜尔烤鸡
米圆塔
决斗之魂
帕蒂沙兰布丁
婆娑一舞
镀金锅
炽金之锅",N/A,Material
m50,「风雅」的指引,3星,角色天赋素材,合成获得活动获得秘境获得菫色之庭精通秘境:初雷幽谷Ⅱ/Ⅲ/Ⅳ（菫色之庭限时开启）时间：周二/周五/周日,雷之国土的姿容是风雅。风雅是不倨傲。风雅之人永远是谦虚的。只有消除虚荣与怠慢，才能明亮双眼，从哪怕最不堪入目的表象之下寻求美与雅致的真境。,N/A,N/A,Material
m51,月莲,1星,须弥区域特产,野外采集须弥水域采集,N/A,N/A,N/A,Material
m52,劫波莲,1星,须弥区域特产,野外采集须弥山崖采集桓那兰那（梦境）NPC兰玛尼处购买,N/A,N/A,N/A,Material
m53,树王圣体菇,1星,须弥区域特产,N/A,如云海般层层叠叠生长的菌类，大多寄生于雨林深处的乔木之上，因此被须弥人视为树王遗德熏结而出的圣体。在须弥，森林中的居民有着向教令院贡奉树王圣体菇的传统，但这些贡品的用途却不为世人所知。据某些逸话中说，教令院每年会在净善宫进行秘密的仪式。在仪式上，贤者们会通过食用树王圣体菇的方式来纪念树王的牺牲。,"唐杜尔烤鸡
土豆船
杂菇荟萃
巡林官精选",N/A,Material
m54,幽灯蕈,1星,稻妻区域特产,野外采集稻妻鹤观采集(采集帮助：点击跳转视频),如同夜灯般微微发光的蘑菇，其中蕴含着不可思议的力量。在鹤观的雾海中，幽灯蕈能如夜灯一般指引人前行。,N/A,N/A,Material
m55,珊瑚真珠,1星,稻妻区域特产,野外采集海祇岛采集离岛山城健太处购买（每三天5个）（需完成天下人之章第二幕）奥摩斯港舶来品商店购买（每三天5个）（需完成天下人之章第二幕）,"与海衹的珊瑚相伴而生的宝珠，散发着月光般的丝丝凉意。
「物产志」：这种珍珠只与海祇的珊瑚相伴而生，在手中会散发出月光般的微微凉意。有本地故事传说道，在流淌着海祇之血的人的手中，这种珍珠会变得更为明亮，因为珍珠是大御神为了海祇人流的血；也有传说说，大御神用皓月般的珍珠照亮了渊下宫，将人们引领到了地表之上。也因此，海祇真珠对于一些人而言，有着圣物般的意义。海祇珊瑚宫的纹样「真珠海波」的由来，传说就是怀抱海祇的波浪，与照亮海祇的耀眼明珠。",N/A,N/A,Material
m56,天云草实,1星,稻妻区域特产,野外采集清籁岛采集,"生长在清籁岛的天云草结成的果实，贴在耳畔能听见微弱的电流声。
天云草是在数千年前撕裂清籁岛、让雷的阴霾从此永远笼罩这片土地的厮杀结束后，诞生的。如同不屈于雷暴，天云草会向传来雷声的天空结出果实。
这种精神也将在未来的许多年中，陪伴着移居清籁岛的人们，直到越石村最终荒废、浅濑神社也不再有神人驻守。",N/A,N/A,Material
m57,「繁荣」的指引,3星,角色天赋素材,合成获得活动获得秘境获得太山府精通秘境:炽炎祭场Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周一/周四/周日,岩之国土的追求是繁荣。繁荣是璃月对它的子女的许诺:以繁荣回报勤劳者，以黄金照亮这片土地。,N/A,N/A,Material
m58,「诗文」的指引,3星,角色天赋素材,合成获得活动获得秘境获得忘却之峡精通秘境:沉睡之国Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周三/周六/周日,风之国土的灵魂是诗文。诗文是激励的心意。在黯淡的日子里，穿过巷道的风中低语着愤怒的诗文，如同战鼓，如同风暴前的低鸣。,N/A,N/A,Material
m59,「抗争」的指引,3星,角色天赋素材,合成获得活动获得秘境获得忘却之峡精通秘境:冰封废渊Ⅱ/Ⅲ/Ⅳ（忘却之峡限时开启）时间：周二/周五/周日,风之国土的脊梁是抗争。蒙德的历史即是抗争的历史。抗争是为了蒙德现在的人们能够拥有自由，正如风之神吹散冰雪，正如温妮莎奋起抗争。,N/A,N/A,Material
m60,「黄金」的指引,3星,角色天赋素材,合成获得活动获得秘境获得太山府精通秘境:焚尽之环Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周三/周六/周日,岩之国土的象征是黄金。黄金意味着转换，这是璃月的岩山、大地、港城与人们的默契。在璃月，勤劳被转换为黄金，而黄金被转换为繁荣。,N/A,N/A,Material
m61,血斛,1星,稻妻区域特产,野外采集推荐：名椎滩采集,"在诗文中也被称为「赤蕊」的鲜艳植物，一度在稻妻列岛绝迹，如今在战场上再度重现。传说在血腥的战场上，它们开得格外妖艳。
虽然格外稀少昂贵，但由于在稻妻人心中颇为不祥，销路也不大。传言说这种植物以鲜血浇灌而成，愈是血腥惨烈的战场，血斛便开得愈发盛大艳丽。稻妻人认为，战殁的灵魂将踏着血斛之花铺成的曲折道路前往彼世，归于永恒的元素循环；但对「永恒」抱持怀疑而迷惘的魂灵，将会被大地束缚，成为朱色苗圃中的另一朵妖红之花。",N/A,N/A,Material
m62,「自由」的指引,3星,角色天赋素材,合成获得活动获得忘却之峡精通秘境:霜凝祭坛Ⅱ/Ⅲ/Ⅳ(忘却之峡限时开启)时间：周一/周四/周日,风之国土的精神是自由。自由其二，是漫游的自由，即是能在苍翠的土地上自由地通行，而不受阻挠的自由。,N/A,N/A,Material
m63,晶化骨髓,1星,稻妻区域特产,野外采集八酝岛采集踏鞴砂采集(采集帮助：采集视频),蕴含着「祟神」力量的晶体。冶炼时加入这种物质的话，能极大地提高钢铁制品的强度与韧性。在稻妻，所谓的「祟神」即是神骸本身，也是神骸带来的怪象。传说中，产生晶化骨髓的那位魔神还没有成为祟神时，拥有许多名字，其中之一为远吕羽氏尊。远吕羽氏尊的身躯有如海对面陆地的海岸线一般长，声音如同只有暗之外海才能容纳的巨鲸一般悠扬。但在最后，却被连同八酝岛一齐斩断。,N/A,N/A,Material
m64,鬼兜虫,1星,稻妻区域特产,野外采集推荐：鸣神岛采集推荐：踏鞴砂采集（采集帮助：采集路线图）,"栖息在雷元素富集区域的奇异甲虫。与甲壳上宛如怒目而视的恶鬼之相相反，鬼兜虫其实非常温顺迟钝。
在稻妻的民间故事中，说神明在为地上的种种动物分配领地时，厌恶纷争的鬼兜虫最先选择了雷元素富集的土地。在漫长的岁月中，进化出诡谲的图形以恫吓来犯者，进化出能放电的角来摒退掠食者。虽然穿着铠甲、顶着尖角，却是有灵万物中最不爱争斗的。",N/A,N/A,Material
m65,「勤劳」的指引,3星,角色天赋素材,合成获得活动获得秘境获得太山府精通秘境:深炎之底Ⅱ/Ⅲ/Ⅳ（太山府限时开启）时间：周二/周五/周日,"岩之国土的根基是勤劳。
勤劳是是流传在璃月人血脉中的催化剂，能将岩石化为黄金，是伟大商港之所以为伟大商港的原因。",N/A,N/A,Material
m66,绯樱绣球,1星,稻妻区域特产,野外采集鸣神岛采集(采集帮助：采集视频),"从鸣神大社的神樱上飘落的花瓣，怀着稻妻大地的眷顾。
「物产志」：从鸣神大社的神樱上飘落的花瓣，会在雷元素的力量下轻轻悬浮在空中。
相传雷樱的根在大地深处隐秘相连，而追溯错综复杂的根系的话，最终都会抵达守望稻妻全地的神樱树下；又有传说认为神樱与雷樱皆是御建鸣神主尊的一部分。她将神体分割，通过这种方式来守护治下的众生。","绯樱饼
三彩团子
「红炉一点雪」
绯樱天妇罗
夏祭游鱼
绯樱虾仙贝
「静寂闲雅」",N/A,Material
m67,鸣草,1星,稻妻区域特产,野外采集推荐：踏鞴砂采集（采集帮助：采集视频）稻妻杂货店购买（每三天5个）奥摩斯港舶来品商店购买（每三天5个）（需完成天下人之章第二幕）,N/A,N/A,N/A,Material
m68,海灵芝,1星,稻妻区域特产,野外采集稻妻海域采集离岛渔夫小畑可以购买5个，每三天刷新一次尘歌壶种植（帮助：采集视频）,N/A,N/A,N/A,Material
m69,石珀,1星,璃月区域特产,野外采集璃月山壁下采集推荐：琥牢山采集(采集帮助：采集视频)璃月港商人长顺处可以购买（1500摩拉一个，共计5个，三天一刷）奥摩斯港商人秋蔚处购买（1000摩拉一个，共计5个，三天一刷）,极纯的岩元素凝成的珍稀晶石，常与其他矿物伴生。也被称为「岩之心」。,N/A,N/A,Material
m70,「秩序」的哲学,4星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:琅诵Ⅳ(苍白的遗荣限时开启)时间：周三/周六/周日,N/A,N/A,N/A,Material
m71,琉璃百合,1星,璃月区域特产,野外采集轻策庄磨坊主小白处购买（50000摩拉每个，每月刷新一次，限购三个）推荐：璃月港玉京台采集推荐：轻策庄采集(采集帮助：采集视频，采集专栏),N/A,N/A,N/A,Material
m72,「正义」的哲学,4星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:箴铭Ⅳ(苍白的遗荣限时开启)时间：周二/周五/周日,水之国土的利剑是正义。枫丹的律法秉正义之剑而行。正义意味着裁决与调和，以裁决的剑锋遏止恶行，以调和的手段维护秩序。,N/A,N/A,Material
m73,风车菊,1星,蒙德区域特产,野外采集风起地七天神像附近采集野外树下采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）推荐：风龙废墟采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）(采集帮助：采集视频，风龙废墟-采集专栏),喜好风的植物。对于崇信风、本身也如风一般爽朗自在的蒙德人而言，风车菊便是「看得见的风」,N/A,N/A,Material
m74,霓裳花,1星,璃月区域特产,野外采集璃月港玉京台附近采集望舒客栈附近采集推荐：璃月港采集(采集帮助：采集视频)望舒客栈菲尔戈黛特处购买（1000摩拉每个，三天刷新一次，限购五个）轻策庄磨坊主小白处购买（1000摩拉每个，三天刷新一次，限购五个）奥摩斯港商人秋蔚处购买（1000摩拉每个，三天刷新一次，限购五个）,N/A,N/A,N/A,Material
m75,星螺,1星,璃月区域特产,野外采集璃月海滩采集璃月海滩“海螺屋”前和“阿卜”选择对话“什么传说”首次对话获得三个星螺璃月港万有铺子老板博来处购买（1000摩拉每个，三天刷新一次，限购五个）(采集帮助：采集视频),随着海潮来到沙滩上的螺。将耳朵凑近空壳，能听见海充满思念的呼唤。,N/A,N/A,Material
m76,「公平」的哲学,4星,角色天赋素材,秘境获得合成获得苍白的遗荣精通秘境:旋韵Ⅳ(苍白的遗荣限时开启)时间：周一/周四/周日,"水之国土的堤岸是公平。
公平是枫丹立国的基础。公平总是需要稳固的道德与律法加以支撑，道德与律法亦基于不变的公平准则而流变不息。",N/A,N/A,Material
m77,蒲公英籽,1星,蒙德区域特产,野外采集推荐：蒙德城门采集（使用风属性攻击击打蒲公英即可获得）(采集帮助：采集视频，采集专栏）离岛远航之风购买（60000摩拉每个，每三天限购5个）奥摩斯港舶来品商店购买（1000摩拉每个，每三天限购5个）,N/A,N/A,N/A,Material
m78,慕风蘑菇,1星,蒙德区域特产,野外采集房檐下采集(采集帮助：采集视频，蒙德城-采集专栏，清泉镇和晨曦酒庄-采集专栏)风起地克罗丽丝处购买（每三天5个）奥摩斯港巴巴克处购买（每三天5个）,沐浴着和煦的风而生长的菌类，与风一样生生不息，滋养生命。,N/A,N/A,Material
m79,小灯草,1星,蒙德区域特产,野外采集夜间野外寻找推荐：奔狼领采集推荐：低语森林采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）遁玉陵和灵矩关之间七天神像附近与紫微对话领取4个小灯草(采集帮助：采集视频),N/A,"「蒙德往事」
「堆高高」
黄油煎鱼
「林之梦」",N/A,Material
m80,塞西莉亚花,1星,蒙德区域特产,野外采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）推荐：摘星崖采集（采集帮助：采集视频）,名字与外形同等美丽的花朵，只生长在清冷而风急的高处，如同浪子一样真心难以触碰。,N/A,N/A,Material
